[02 Feb 2024]  [06:13:38]  ** GUE startup log begins **
[02 Feb 2024]  [12:13:48]  ** Server shut down **
[02 Feb 2024]  [12:27:20]  ** GUE startup log begins **
[12:27:20]  Initialising windowed graphics mode
[12:27:21]  Initialising encryption system
[12:27:21]  Loading splash screen
[12:27:28]  Creating media dialogs
[12:27:32]  Loading game interface settings
[12:27:32]  Loading emitter configurations
[12:27:33]  Loading damage types
[12:27:33]  Loading attributes
[12:27:33]  Loading factions
[12:27:33]  Loading animations
[12:27:33]  Loading projectiles
[12:27:33]  Loading items
[12:27:33]  Loading actors
[12:27:33]  Loading abilities
[12:27:33]  Loading server-side zones
[12:27:33]  Loading environment settings
[12:27:33]  Loading suns/moons
[12:27:33]  Creating main window
[12:27:34]  Creating project tab
[12:27:35]  Creating media tab
[12:27:38]  Creating particles tab
[12:27:43]  Creating combat tab
[12:27:45]  Creating projectiles tab
[12:27:50]  Creating factions tab
[12:27:50]  Creating animations tab
[02 Feb 2024]  [12:33:50]  ** GUE startup log begins **
[12:33:50]  Initialising windowed graphics mode
[12:33:50]  Initialising encryption system
[12:33:50]  Loading splash screen
[12:33:57]  Creating media dialogs
[12:34:01]  Loading game interface settings
[12:34:01]  Loading emitter configurations
[12:34:03]  Loading damage types
[12:34:03]  Loading attributes
[12:34:03]  Loading factions
[12:34:03]  Loading animations
[12:34:03]  Loading projectiles
[12:34:03]  Loading items
[12:34:03]  Loading actors
[12:34:03]  Loading abilities
[12:34:03]  Loading server-side zones
[12:34:03]  Loading environment settings
[12:34:03]  Loading suns/moons
[12:34:03]  Creating main window
[02 Feb 2024]  [14:52:20]  ** GUE startup log begins **
[14:52:20]  Initialising windowed graphics mode
[03 Feb 2024]  [17:59:14]  ** Server started **
[03 Feb 2024]  [17:59:14]  ** Server started **
[17:59:14]  Created server windows...
[17:59:14]  Loaded actor attributes...
[17:59:14]  Loaded damage types...
[17:59:14]  Loaded 1 abilities...
[17:59:14]  Loaded 2 factions...
[17:59:14]  Loaded 3 actors...
[17:59:14]  Loaded 4 items...
[17:59:14]  Loaded 2 projectiles...
[17:59:14]  Loaded 0 accounts...
[17:59:15]  Loaded 27 scripts...
[17:59:15]  Script log: Module 'RC_Core.rcm' already loaded
[17:59:15]  Compiled 2 Modules...
[17:59:15]  Loaded superglobal variables...
[17:59:15]  Loaded 4 zones...
[17:59:15]  Loaded 0 dropped items...
[17:59:15]  Loaded misc options...
[17:59:15]  Loaded environment settings...
[03 Feb 2024]  [17:59:15]  Loading complete, server running.
[17:59:20]  Shutting down...
[17:59:20]  Beginning Shutdown script...
[17:59:20]  Shutdown script not present...
[17:59:20]  Taskbar notification area icon removed...
[17:59:20]  Actor Effects cleaned...
[17:59:20]  Saved accounts...
[17:59:20]  Saved superglobal variables...
[17:59:20]  Saved zone ownerships...
[17:59:20]  Saved environment settings...
[17:59:20]  Saved dropped items...
[17:59:20]  Network port scheduled for closing...
[03 Feb 2024]  [17:59:20]  ** Server shut down **
[04 Feb 2024]  [16:02:03]  ** GUE startup log begins **
[16:02:03]  Initialising windowed graphics mode
[16:02:03]  Initialising encryption system
[16:02:03]  Loading splash screen
[16:02:11]  Creating media dialogs
[16:02:12]  Loading game interface settings
[16:02:13]  Loading emitter configurations
[16:02:13]  Loading damage types
[16:02:13]  Loading attributes
[16:02:13]  Loading factions
[16:02:13]  Loading animations
[16:02:13]  Loading projectiles
[16:02:13]  Loading items
[16:02:13]  Loading actors
[16:02:13]  Loading abilities
[16:02:13]  Loading server-side zones
[16:02:13]  Loading environment settings
[16:02:13]  Loading suns/moons
[16:02:13]  Creating main window
[16:02:13]  Creating project tab
[16:02:14]  Creating media tab
[16:02:15]  Creating particles tab
[16:02:17]  Creating combat tab
[16:02:18]  Creating projectiles tab
[16:02:20]  Creating factions tab
[16:02:20]  Creating animations tab
[16:02:21]  Creating attributes tab
[16:02:21]  Creating actors tab
[16:02:27]  Creating items tab
[16:02:30]  Creating seasons tab
[16:02:31]  Creating zones tab
[16:02:36]  Creating abilities tab
[16:02:37]  Creating interface tab
[16:02:41]  Creating host options
[16:02:42]  Creating game options
[16:02:42]  Creating money options
[16:02:43]  Creating gubbin remapping options
[16:02:43]  Initialising gadgets
[16:02:46]  Creating skyspheres
[16:02:46]  Performing final initialisation
[16:02:46]  ** GUE loading complete **
[04 Feb 2024]  [16:03:11]  ** GUE startup log begins **
[16:03:11]  Initialising windowed graphics mode
[16:03:11]  Initialising encryption system
[16:03:11]  Loading splash screen
[16:03:18]  Creating media dialogs
[16:03:20]  Loading game interface settings
[16:03:20]  Loading emitter configurations
[16:03:21]  Loading damage types
[16:03:21]  Loading attributes
[16:03:21]  Loading factions
[16:03:21]  Loading animations
[16:03:21]  Loading projectiles
[16:03:21]  Loading items
[16:03:21]  Loading actors
[16:03:21]  Loading abilities
[16:03:21]  Loading server-side zones
[16:03:21]  Loading environment settings
[16:03:21]  Loading suns/moons
[16:03:21]  Creating main window
[16:03:21]  Creating project tab
[16:03:21]  Creating media tab
[16:03:23]  Creating particles tab
[16:03:25]  Creating combat tab
[16:03:26]  Creating projectiles tab
[16:03:28]  Creating factions tab
[16:03:28]  Creating animations tab
[16:03:29]  Creating attributes tab
[16:03:30]  Creating actors tab
[16:03:35]  Creating items tab
[16:03:39]  Creating seasons tab
[16:03:40]  Creating zones tab
[16:03:45]  Creating abilities tab
[16:03:47]  Creating interface tab
[16:03:51]  Creating host options
[16:03:51]  Creating game options
[16:03:52]  Creating money options
[16:03:52]  Creating gubbin remapping options
[16:03:52]  Initialising gadgets
[16:03:56]  Creating skyspheres
[16:03:56]  Performing final initialisation
[16:03:56]  ** GUE loading complete **
[04 Feb 2024]  [16:07:25]  ** Server started **
[04 Feb 2024]  [16:07:25]  ** Server started **
[16:07:25]  Created server windows...
[16:07:25]  Loaded actor attributes...
[16:07:25]  Loaded damage types...
[16:07:25]  Loaded 1 abilities...
[16:07:25]  Loaded 2 factions...
[16:07:25]  Loaded 3 actors...
[16:07:25]  Loaded 4 items...
[16:07:25]  Loaded 2 projectiles...
[16:07:25]  Loaded 0 accounts...
[16:07:26]  Loaded 27 scripts...
[16:07:26]  Script log: Module 'RC_Core.rcm' already loaded
[16:07:26]  Compiled 2 Modules...
[16:07:26]  Loaded superglobal variables...
[16:07:26]  Loaded 4 zones...
[16:07:26]  Loaded 0 dropped items...
[16:07:26]  Loaded misc options...
[16:07:26]  Loaded environment settings...
[04 Feb 2024]  [16:07:26]  Loading complete, server running.
[04 Feb 2024]  [16:07:28]  Updates Server Unlocked
[16:07:28]  Loaded 0 files for update system...
[16:07:28]  Spawning AI actor: Human in zone: Test Zone
[16:07:30]  Spawning AI actor: Human in zone: Test Zone
[04 Feb 2024]  [16:07:31]  Updates Server Locked
[16:07:31]  Saved accounts...
[16:07:31]  Saved superglobal variables...
[16:07:31]  Saved zone ownerships...
[16:07:31]  Saved environment settings...
[16:07:31]  Saved dropped items...
[16:07:34]  Shutting down...
[16:07:34]  Beginning Shutdown script...
[16:07:34]  Shutdown script not present...
[16:07:34]  Taskbar notification area icon removed...
[16:07:34]  Actor Effects cleaned...
[16:07:34]  Saved accounts...
[16:07:34]  Saved superglobal variables...
[16:07:34]  Saved zone ownerships...
[16:07:34]  Saved environment settings...
[16:07:34]  Saved dropped items...
[16:07:34]  Network port scheduled for closing...
[04 Feb 2024]  [16:07:34]  ** Server shut down **
[16:07:46]  Loaded options from file
[16:07:46]  Gooey loaded for menu
[16:07:49]  EULA complete
[16:07:49]  Loaded animation sets
[16:07:49]  Server chosen
[16:08:04]  Loaded options from file
[16:08:04]  Gooey loaded for menu
[16:08:06]  EULA complete
[16:08:06]  Loaded animation sets
[16:08:06]  Server chosen
[06 Feb 2024]  [08:21:47]  ** GUE startup log begins **
[08:21:47]  Initialising windowed graphics mode
[08:21:47]  Initialising encryption system
[08:21:47]  Loading splash screen
[08:21:54]  Creating media dialogs
[08:21:56]  Loading game interface settings
[08:21:56]  Loading emitter configurations
[08:21:56]  Loading damage types
[08:21:56]  Loading attributes
[08:21:56]  Loading factions
[08:21:56]  Loading animations
[08:21:57]  Loading projectiles
[08:21:57]  Loading items
[08:21:57]  Loading actors
[08:21:57]  Loading abilities
[08:21:57]  Loading server-side zones
[08:21:57]  Loading environment settings
[08:21:57]  Loading suns/moons
[08:21:57]  Creating main window
[08:21:57]  Creating project tab
[08:21:57]  Creating media tab
[08:21:59]  Creating particles tab
[08:22:01]  Creating combat tab
[08:22:02]  Creating projectiles tab
[08:22:04]  Creating factions tab
[08:22:04]  Creating animations tab
[08:22:05]  Creating attributes tab
[08:22:05]  Creating actors tab
[08:22:11]  Creating items tab
[08:22:14]  Creating seasons tab
[08:22:16]  Creating zones tab
[08:22:21]  Creating abilities tab
[08:22:22]  Creating interface tab
[08:22:27]  Creating host options
[08:22:27]  Creating game options
[08:22:28]  Creating money options
[08:22:28]  Creating gubbin remapping options
[08:22:28]  Initialising gadgets
[08:22:31]  Creating skyspheres
[08:22:31]  Performing final initialisation
[08:22:31]  ** GUE loading complete **
[14 Feb 2024]  [11:04:45]  ** GUE startup log begins **
[11:04:45]  Initialising windowed graphics mode
[11:04:45]  Initialising encryption system
[11:04:45]  Loading splash screen
[11:04:52]  Creating media dialogs
[11:04:54]  Loading game interface settings
[11:04:54]  Loading emitter configurations
[11:04:54]  Loading damage types
[11:04:54]  Loading attributes
[11:04:54]  Loading factions
[11:04:54]  Loading animations
[11:04:54]  Loading projectiles
[11:04:55]  Loading items
[11:04:55]  Loading actors
[11:04:55]  Loading abilities
[11:04:55]  Loading server-side zones
[11:04:55]  Loading environment settings
[11:04:55]  Loading suns/moons
[11:04:55]  Creating main window
[11:04:55]  Creating project tab
[11:04:55]  Creating media tab
[11:04:57]  Creating particles tab
[11:04:59]  Creating combat tab
[11:05:00]  Creating projectiles tab
[11:05:01]  Creating factions tab
[11:05:02]  Creating animations tab
[11:05:02]  Creating attributes tab
[11:05:03]  Creating actors tab
[11:05:08]  Creating items tab
[11:05:12]  Creating seasons tab
[11:05:13]  Creating zones tab
[11:05:18]  Creating abilities tab
[11:05:19]  Creating interface tab
[11:05:23]  Creating host options
[11:05:24]  Creating game options
[11:05:24]  Creating money options
[11:05:24]  Creating gubbin remapping options
[11:05:25]  Initialising gadgets
[11:05:28]  Creating skyspheres
[11:05:28]  Performing final initialisation
[11:05:28]  ** GUE loading complete **
[14 Feb 2024]  [11:14:19]  ** GUE startup log begins **
[11:14:19]  Initialising windowed graphics mode
[11:14:19]  Initialising encryption system
[11:14:19]  Loading splash screen
[11:14:27]  Creating media dialogs
[11:14:29]  Loading game interface settings
[11:14:29]  Loading emitter configurations
[11:14:29]  Loading damage types
[11:14:29]  Loading attributes
[11:14:29]  Loading factions
[11:14:29]  Loading animations
[11:14:29]  Loading projectiles
[11:14:29]  Loading items
[11:14:29]  Loading actors
[11:14:29]  Loading abilities
[11:14:29]  Loading server-side zones
[11:14:29]  Loading environment settings
[11:14:29]  Loading suns/moons
[11:14:29]  Creating main window
[11:14:30]  Creating project tab
[11:14:30]  Creating media tab
[11:14:31]  Creating particles tab
[11:14:33]  Creating combat tab
[11:14:34]  Creating projectiles tab
[11:14:36]  Creating factions tab
[11:14:36]  Creating animations tab
[11:14:37]  Creating attributes tab
[11:14:37]  Creating actors tab
[11:14:43]  Creating items tab
[11:14:46]  Creating seasons tab
[11:14:47]  Creating zones tab
[11:14:52]  Creating abilities tab
[11:14:53]  Creating interface tab
[11:14:57]  Creating host options
[11:14:58]  Creating game options
[11:14:58]  Creating money options
[11:14:59]  Creating gubbin remapping options
[11:14:59]  Initialising gadgets
[11:15:02]  Creating skyspheres
[11:15:02]  Performing final initialisation
[11:15:02]  ** GUE loading complete **
[14 Feb 2024]  [11:16:57]  ** GUE startup log begins **
[11:16:57]  Initialising windowed graphics mode
[11:16:57]  Initialising encryption system
[11:16:57]  Loading splash screen
[11:17:05]  Creating media dialogs
[11:17:06]  Loading game interface settings
[11:17:06]  Loading emitter configurations
[11:17:07]  Loading damage types
[11:17:07]  Loading attributes
[11:17:07]  Loading factions
[11:17:07]  Loading animations
[11:17:07]  Loading projectiles
[11:17:07]  Loading items
[11:17:07]  Loading actors
[11:17:07]  Loading abilities
[11:17:07]  Loading server-side zones
[11:17:07]  Loading environment settings
[11:17:07]  Loading suns/moons
[11:17:07]  Creating main window
[11:17:07]  Creating project tab
[11:17:08]  Creating media tab
[11:17:09]  Creating particles tab
[11:17:11]  Creating combat tab
[11:17:12]  Creating projectiles tab
[11:17:14]  Creating factions tab
[11:17:14]  Creating animations tab
[11:17:15]  Creating attributes tab
[11:17:16]  Creating actors tab
[11:17:21]  Creating items tab
[11:17:24]  Creating seasons tab
[11:17:26]  Creating zones tab
[11:17:31]  Creating abilities tab
[11:17:32]  Creating interface tab
[11:17:36]  Creating host options
[11:17:36]  Creating game options
[11:17:37]  Creating money options
[11:17:37]  Creating gubbin remapping options
[11:17:37]  Initialising gadgets
[11:17:41]  Creating skyspheres
[11:17:41]  Performing final initialisation
[11:17:41]  ** GUE loading complete **
[11:20:01]  Loaded options from file
[11:20:01]  Gooey loaded for menu
[11:20:07]  EULA complete
[11:20:07]  Loaded animation sets
[11:20:07]  Server chosen
[08:36:01]  Loaded options from file
[19 Feb 2024]  [08:59:34]  ** GUE startup log begins **
[08:59:34]  Initialising windowed graphics mode
[19 Feb 2024]  [09:00:12]  ** GUE startup log begins **
[09:00:12]  Initialising windowed graphics mode
[19 Feb 2024]  [09:00:46]  ** GUE startup log begins **
[09:00:46]  Initialising windowed graphics mode
[19 Feb 2024]  [09:01:58]  ** GUE startup log begins **
[09:01:58]  Initialising windowed graphics mode
[19 Feb 2024]  [09:04:03]  ** GUE startup log begins **
[09:04:03]  Initialising windowed graphics mode
[19 Feb 2024]  [09:05:16]  ** GUE startup log begins **
[09:05:16]  Initialising windowed graphics mode
[19 Feb 2024]  [09:06:00]  ** GUE startup log begins **
[09:06:00]  Initialising windowed graphics mode
[19 Feb 2024]  [09:23:22]  ** GUE startup log begins **
[09:23:22]  Initialising windowed graphics mode
